Var,MLE,DLSA_AIC,DLSA_BIC,WLSE,ONE_SHOT
Origin_PDX,1.3016649967948621,-0.1348195146078662,-0.133287253013514,-0.13516325947854835,-0.1395252882198944
Origin_PHL,-1.2796445184872511,0.9399195569142741,0.9402226295911119,0.9398632469088136,0.9465109598390175
Origin_PHX,1.003548352216067,0.3650672122838209,0.3658761535596434,0.3649613439081457,0.3668682926784747
Origin_PIT,-0.4472401744467023,0.1780872177434729,0.17801917347475013,0.17796489544990024,0.17404941318455366
Origin_PVD,-1.482902094494514,-0.4239988989134243,-0.42254067791499317,-0.42426387183618036,-0.43472104500892905
Origin_RDU,-0.7666094574059843,-5.797654857718642,-5.797027423507005,-5.7977917194122295,-5.881871177143021
Origin_RIC,-0.7719816307101156,0.014793009163840283,0.016480566415106476,0.014263337023468936,0.014691848306887006
Origin_RNO,1.1593656851125373,-0.0644756776110388,-0.062239770412169826,-0.06511368774602033,-0.0658850700428422
Origin_ROC,-0.590675524371761,0.19527219085799047,0.1973715752630031,0.19466152681801696,0.19724291926241733
Origin_RSW,-0.5131079332726476,0.044193624858728804,0.046155738500890796,0.04361209418230949,0.04462205666684851
Origin_SAN,1.0670049394105035,-0.003130871991734289,0.0,-0.004124035642910084,-0.004176413703236777
Origin_SAT,0.37681710442932986,-0.045204264309158956,-0.042871398267976604,-0.045859410542181456,-0.04607845141106112
Origin_SDF,-0.21065040313055142,-0.003784113678770068,0.0,-0.004730286855627375,-0.004578972601115368
Origin_SEA,1.1187821922622276,0.24035372453651427,0.24244619988819188,0.2397444056441887,0.24334431471431076
Origin_SFO,1.0368541149224744,0.23664282407768739,0.23873536387253602,0.23603321028105628,0.23971302683655502
Origin_SJC,0.8858286821305917,0.13841944013255297,0.14050013673888664,0.13781235757032895,0.13982791334979167
Origin_SJU,-1.0580836792923787,-0.14182092142477773,-0.13964480548367292,-0.1424480966711661,-0.14413094846927382
Origin_SLC,0.47654921175270093,0.5948370252819998,0.5948294869437221,0.5951899621664788,0.598059991067768
Origin_SMF,1.310017730875297,1.584481521851011,1.5851207254120372,1.584657113263232,1.6019965584889484
Origin_SNA,0.9563266135406393,-0.15340467044817518,-0.15212404065031535,-0.15334179229333866,-0.15861410022749678
Origin_STL,-0.5020024069656562,0.14185995395162118,0.14151325611311918,0.14226236702849998,0.13961742237209077
Origin_SYR,-0.7670652601505129,-1.2078805613284591,-1.2070528705993058,-1.2077196624707907,-1.2314040239722848
Origin_TPA,-0.5215842695740069,-0.2798657019175377,-0.2788275392756086,-0.2797534131200211,-0.29445015458784146
Origin_TUL,0.1983431243511491,-0.36342901331238286,-0.3628779003012229,-0.36319819933452174,-0.3715026350730952
Origin_TUS,1.1425627030786072,-1.508022088149821,-1.5072042840622852,-1.5078794957159443,-1.5309244325149942
Dest_ABQ,-0.4556655937874383,-0.6117926411967338,-0.6112410261317558,-0.6116163597746771,-0.6277422022293045
Dest_ANC,0.07045015420326135,0.7793202858011251,0.7792728282004854,0.7796735011800399,0.7842785742779763
Dest_ATL,-0.14471192934644828,-0.8431515094232439,-0.842514888253681,-0.8429164549251831,-0.8564625176667972
Dest_AUS,-0.0996984428582361,-0.7260818449601969,-0.7255530158735242,-0.7258911193046937,-0.7379675165164125
Dest_BDL,0.7488201986445803,-0.7431453433832229,-0.7426230533779151,-0.7429401184689501,-0.7565108951447902
Dest_BHM,0.40254578589860707,-0.45804396325573393,-0.45742582619629585,-0.4578569772987866,-0.4699796292261561
Dest_BNA,-0.004168808602842791,-0.28093119649536885,-0.27982266876076206,-0.2808513082252821,-0.2865624283716789
Dest_BOS,0.49770745338570077,0.5049811527082494,0.5050187659431219,0.5053567391945674,0.5119996012033735
Dest_BUF,0.9020162738725359,-0.5052396330876336,-0.5044981006583749,-0.5051388196577735,-0.5276602114423954
Dest_BUR,-0.9182626548267058,-0.8969051881730878,-0.8963282517033739,-0.8967137832763358,-0.9107370971947041
Dest_BWI,0.5144689484069135,0.6938675031010196,0.6942862178414626,0.6941074507791158,0.7009907452913166
Dest_CLE,0.31324380314656153,0.1415294021566455,0.14225599658393917,0.14172395735522603,0.14146050168270577
Dest_CLT,0.35638003572692306,-0.46535032334858123,-0.4644510885134138,-0.46520476146859396,-0.4747597082683458
Dest_CMH,0.5216324057851495,0.6410038306917334,0.6407932622508317,0.6413963703003207,0.6388573363264379
Dest_CVG,-0.1112407649820793,-1.6027217574585717,-1.601934416366101,-1.6025720997125361,-1.6272650010968666
Dest_DAL,-0.0329980369123358,-0.7159366153496015,-0.7152507257217587,-0.7157381858179697,-0.7269934307503446
Dest_DAY,0.4412039714224917,-0.7929320534342951,-0.7923299951906141,-0.7927951814682284,-0.8166539881228536
Dest_DCA,0.5945501785229994,1.063995062543696,1.065019423925431,1.0640915949245278,1.0704448458260778
Dest_DEN,-0.6295020667787454,0.3732055241906343,0.373389516065197,0.37355875810609646,0.37679318761942543
Dest_DFW,-0.7664392770944944,-1.0412380267275896,-1.0405325156733547,-1.0410773132232016,-1.0578349250117096
Dest_DTW,-0.37840388275110526,-0.18691031292261465,-0.18616498673876547,-0.18674799165880146,-0.19076960062346188
Dest_ELP,-0.22888312590262855,-0.5392760991276824,-0.5386644002577005,-0.5390905911389936,-0.5513598557993367
Dest_EWR,0.04243820419963595,-0.44473656792175975,-0.444089446783746,-0.4445610514453741,-0.4558911635005301
Dest_FLL,0.43025281454839454,-1.6985341815586381,-1.697489035774586,-1.6984375703362602,-1.72578672491712
Dest_GSO,0.6755265727089893,0.7679215541321847,0.7681146298538549,0.7682319509669435,0.7779840142190261
Dest_HNL,0.004998304861903369,0.7904417836127653,0.7908925445745363,0.7906781105016769,0.7987003218354757
Dest_HOU,-0.35126640587776864,-1.6257242783303016,-1.6248109111300577,-1.6255931664359156,-1.6490432933600505
Dest_IAD,0.26184978760461086,0.0,0.0,0.0038277602144860257,0.0004437675726009235
Dest_IAH,-0.376830099224257,-0.5398163419143185,-0.5391870215933486,-0.5395995306100815,-0.5484989934670402
Dest_IND,0.08531607098174128,-0.27161825555870356,-0.2711055081911362,-0.27135625012104214,-0.2777872014333992
Dest_JAX,0.566460690312173,-0.12471359005487766,-0.12352691156901265,-0.12465101144031736,-0.13035468382350585
Dest_JFK,0.26484037652458847,-0.6970959292504075,-0.6963326094862751,-0.6969050628705312,-0.7094843646245441
Dest_LAS,-0.915442090201363,-0.2904873330012676,-0.289573852181813,-0.29039453691866035,-0.3032534079635316
Dest_LAX,-1.1595642850750483,-0.20021846613578617,-0.19927388769204532,-0.20008074547607715,-0.20641422017534383
Dest_LGA,0.25357217151237954,0.12728883525596776,0.126786077271162,0.1277178105138847,0.12536235635315446
Dest_MCI,-0.19372924252908927,0.9976728876758759,0.997776424158045,0.9980066262450492,1.0093344524454864
Dest_MCO,0.3426194541932659,0.2971354595175744,0.29661698999547387,0.297542037634948,0.2922372857864248
Dest_MDW,-0.06864769506095932,0.10565623184448143,0.10409148850977427,0.10628814438431297,0.10032196018662125
Dest_MEM,-0.12296869373020174,1.1603110924208433,1.1603500233249713,1.1606418645620096,1.1722361248269713
Dest_MIA,0.484609364385671,-0.10912111433394527,-0.10827157009374479,-0.10896067735834625,-0.11183361185788453
Dest_MKE,0.20085572570295876,-0.8343591500759262,-0.8336980548636763,-0.8341968366127921,-0.8563574093799993
Dest_MSP,-0.4795216765706395,-0.6151757807838775,-0.6143472131474877,-0.6150207963822532,-0.6284325496731146
Dest_MSY,0.149542830146544,0.9737610483044076,0.9740147746692822,0.9740286577862903,0.9847136443099749
Dest_OAK,-1.2234847959825623,-1.4718517869390237,-1.471210670773356,-1.471648933216486,-1.4959140793780796
Dest_OKC,-0.07592433464799705,0.6942316335701386,0.6943767977551634,0.6945399181017007,0.7017180450359859
Dest_OMA,0.07472789777669059,-0.7445319171222595,-0.7440847713170134,-0.7443184948654722,-0.7582717059513961
Dest_ONT,-0.8465302547618572,-1.4868676225018969,-1.4861425812844995,-1.4866742251661145,-1.5172512628962154
Dest_ORD,-0.43275724468749754,-0.717491670612497,-0.7169633654786084,-0.7172980128010558,-0.7303989869177172
Dest_ORF,0.8861913246912371,-0.7897846449163625,-0.7891663240471131,-0.7896379751426882,-0.8110466546395794
Dest_PBI,0.5076756024584244,0.9874376620760953,0.9874547617467178,0.9877658803622569,0.9959376916965347
Dest_PDX,-1.0290013862396017,-0.6411795137387527,-0.6405887623446567,-0.6410435097128231,-0.6601608486827559
Dest_PHL,0.2512869535355875,-0.5454085278430594,-0.5447936114206695,-0.5452097070740095,-0.5621694246543472
Dest_PHX,-0.9342248659018982,0.8293181702836157,0.8294595659784402,0.8296185828184578,0.8384300009626786
Dest_PIT,0.4432545345808391,0.33341225524036516,0.33333139598046335,0.3337612303617613,0.3340972630430374
Dest_PVD,0.9093748335117003,-0.4052730487690044,-0.40457356813368966,-0.40510181365472964,-0.4183697636518543
Dest_RDU,0.41504906499129257,0.9696741538724761,0.9698935113872136,0.9699416237457512,0.9839521994326965
Dest_RIC,0.5773542909083044,0.8248697471355435,0.8253785468981467,0.82508702473416,0.8334498755490979
Dest_RNO,-0.7710103396159574,0.7103249278364124,0.710415467661393,0.7106378829448704,0.7172735132511373
Dest_ROC,0.7587055315255349,-1.0697329067605046,-1.068762463595451,-1.0695710535401077,-1.0909656488553565
Dest_RSW,0.3770257154045719,0.37137962984775097,0.37219990642861056,0.3715321526063851,0.37334270881660525
Dest_SAN,-0.8949429928508373,1.151767038228869,1.1518363159435734,1.1520925428309943,1.1650639705236139
Dest_SAT,-0.16852773471094218,0.7799159474872548,0.7800133178678661,0.7802119400542319,0.7873687423673104
Dest_SDF,0.2025850402587216,-0.3552972648744395,-0.35464936469987635,-0.35507079512628614,-0.3634099774592817
Dest_SEA,-1.162458066784052,-0.7880413822038956,-0.7873183943403015,-0.7879228362705732,-0.81049122802736
Dest_SFO,-1.2062046833413687,-0.514496915068538,-0.5138583184672448,-0.5142788600148319,-0.523531401601996
Dest_SJC,-1.2736958570415102,0.20970612560856083,0.20896127945465157,0.21016029826026328,0.20066014895550555
Dest_SJU,1.7941788500630005,0.8360593773504521,0.8359749040476102,0.8363876150246403,0.8371836758204738
Dest_SLC,-0.6972370275261781,0.08891326100294203,0.08853871401027051,0.08889403198561818,0.08955002189139173
Dest_SMF,-1.0622353054221472,-0.02909835230667462,-0.029013226452436057,-0.029156531316348433,-0.0302122327862552
Dest_SNA,-1.4367579731138105,0.024713461073050533,0.023788411734661768,0.024828193674140964,0.026352886538395334
Dest_STL,-0.46392735093652643,0.3823014401499349,0.38184995353353945,0.38234325153390347,0.3894260320665682
Dest_SYR,0.9295243217009969,-0.05583592729679239,-0.05583094322642956,-0.05590973481824346,-0.05646736386878737
Dest_TPA,0.42184874859652677,0.3141846502906376,0.3143017684818889,0.3141073440145179,0.3185272152667832
Dest_TUL,0.06107240427126511,0.42894709375923995,0.42892972290664994,0.42882718947542564,0.4313329246598576
Dest_TUS,-0.5170790323167302,0.035410375296871514,0.03499910549621187,0.035493101286916406,0.03612412004096229
